PassengerId,Group,GroupSize,SoloTraveler,HomePlanet,CabinDeck,CabinNumber,CabinSide,CryoSleep,Destination,Age,AgeGroup,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,TotalExpenditure,Expenditure,LastName,FamilySize,LoneTraveler
0001_01,1,1,1,Europa,B,0.0,P,False,TRAPPIST-1e,39.0,31-40,False,0.0,0.0,0.0,0.0,0.0,0.0,0,Ofracculy,3,0
0002_01,2,1,1,Earth,F,0.0,S,False,TRAPPIST-1e,24.0,21-30,False,109.0,9.0,25.0,549.0,44.0,736.0,1,Vines,4,0
0003_01,3,2,0,Europa,A,0.0,S,False,TRAPPIST-1e,58.0,51-60,True,43.0,3576.0,0.0,6715.0,49.0,10383.0,1,Susent,7,0
0003_02,3,2,0,Europa,A,0.0,S,False,TRAPPIST-1e,33.0,31-40,False,0.0,1283.0,371.0,3329.0,193.0,5176.0,1,Susent,7,0
0004_01,4,1,1,Earth,F,1.0,S,False,TRAPPIST-1e,16.0,11-20,False,303.0,70.0,151.0,565.0,2.0,1091.0,1,Santantines,9,0
0005_01,5,1,1,Earth,F,0.0,P,False,PSO J318.5-22,44.0,41-50,False,0.0,483.0,0.0,291.0,0.0,774.0,1,Hinetthews,10,0
0006_01,6,2,0,Earth,F,2.0,S,False,TRAPPIST-1e,26.0,21-30,False,42.0,1539.0,3.0,0.0,0.0,1584.0,1,Jacostaffey,9,0
0006_02,6,2,0,Earth,G,0.0,S,True,TRAPPIST-1e,28.0,21-30,False,0.0,0.0,0.0,0.0,0.0,0.0,0,Jacostaffey,9,0
0007_01,7,1,1,Earth,F,3.0,S,False,TRAPPIST-1e,35.0,31-40,False,0.0,785.0,17.0,216.0,0.0,1018.0,1,Beston,5,0
0008_01,8,3,0,Europa,B,1.0,P,True,55 Cancri e,14.0,11-20,False,0.0,0.0,0.0,0.0,0.0,0.0,0,Flatic,3,0
0008_02,8,3,0,Europa,B,1.0,P,True,TRAPPIST-1e,34.0,31-40,False,0.0,0.0,0.0,0.0,0.0,0.0,0,Flatic,3,0
0008_03,8,3,0,Europa,B,1.0,P,False,55 Cancri e,45.0,41-50,False,39.0,7295.0,589.0,110.0,124.0,8157.0,1,Flatic,3,0
0009_01,9,1,1,Mars,F,1.0,P,False,TRAPPIST-1e,32.0,31-40,False,73.0,0.0,1123.0,0.0,113.0,1309.0,1,Barne,4,0
0010_01,10,1,1,Earth,G,1.0,S,False,TRAPPIST-1e,48.0,41-50,False,719.0,1.0,65.0,0.0,24.0,809.0,1,Baketton,6,0
0011_01,11,1,1,Earth,F,2.0,P,False,TRAPPIST-1e,28.0,21-30,False,8.0,974.0,12.0,2.0,7.0,1003.0,1,Bertsontry,9,0
0012_01,12,1,1,Earth,G,Unknown,S,False,TRAPPIST-1e,31.0,31-40,False,32.0,0.0,876.0,0.0,0.0,908.0,1,Pooles,12,0
0014_01,14,1,1,Mars,F,3.0,P,False,55 Cancri e,27.0,21-30,False,1286.0,122.0,0.0,0.0,0.0,1408.0,1,Eccle,2,0
0015_01,15,1,1,Earth,F,4.0,P,False,55 Cancri e,24.0,21-30,False,0.0,1.0,0.0,0.0,637.0,638.0,1,Hughriend,9,0
0016_01,16,1,1,Mars,F,5.0,P,True,TRAPPIST-1e,45.0,41-50,False,0.0,0.0,0.0,0.0,0.0,0.0,0,Upead,7,0
0017_01,17,2,0,Earth,G,0.0,P,False,TRAPPIST-1e,0.0,0-10,False,0.0,0.0,0.0,0.0,0.0,0.0,0,Brighttt,8,0
0017_02,17,2,0,Earth,F,6.0,P,False,55 Cancri e,14.0,11-20,False,412.0,0.0,1.0,0.0,679.0,1092.0,1,Brighttt,8,0
0020_01,20,6,0,Earth,E,0.0,S,True,TRAPPIST-1e,1.0,0-10,False,0.0,0.0,0.0,0.0,0.0,0.0,0,Brantuarez,8,0
0020_02,20,6,0,Earth,E,0.0,S,True,55 Cancri e,49.0,41-50,False,0.0,0.0,0.0,0.0,0.0,0.0,0,Brantuarez,8,0
0020_03,20,6,0,Earth,E,0.0,S,True,55 Cancri e,29.0,21-30,False,0.0,0.0,0.0,0.0,0.0,0.0,0,Mcfaddennon,7,0
0020_04,20,6,0,Earth,E,0.0,S,False,TRAPPIST-1e,10.0,0-10,False,0.0,0.0,0.0,0.0,0.0,0.0,0,Jacostanley,6,0
0020_05,20,6,0,Earth,E,0.0,S,True,PSO J318.5-22,1.0,0-10,False,0.0,0.0,0.0,0.0,0.0,0.0,0,Brantuarez,8,0
0020_06,20,6,0,Earth,E,0.0,S,False,TRAPPIST-1e,7.0,0-10,False,0.0,0.0,0.0,0.0,0.0,0.0,0,Mcfaddennon,7,0
0022_01,22,1,1,Mars,D,0.0,P,False,TRAPPIST-1e,21.0,21-30,False,980.0,2.0,69.0,0.0,0.0,1051.0,1,Unknown,294,0
0024_01,24,1,1,Europa,C,2.0,S,True,TRAPPIST-1e,62.0,61-70,False,0.0,0.0,0.0,0.0,0.0,0.0,0,Fullided,1,1
0025_01,25,1,1,Earth,F,6.0,S,False,TRAPPIST-1e,15.0,11-20,False,0.0,225.0,0.0,998.0,0.0,1223.0,1,Brookenson,6,0
0026_01,26,1,1,Europa,C,0.0,P,False,55 Cancri e,34.0,31-40,False,22.0,6073.0,0.0,1438.0,328.0,7861.0,1,Unconary,2,0
0028_01,28,1,1,Mars,F,8.0,P,False,TRAPPIST-1e,43.0,41-50,False,1125.0,0.0,136.0,48.0,0.0,1309.0,1,Mare,5,0
0030_01,30,1,1,Earth,G,4.0,S,False,TRAPPIST-1e,32.0,31-40,False,0.0,850.0,81.0,437.0,453.0,1821.0,1,Morsentley,4,0
0031_01,31,3,0,Mars,F,9.0,P,False,TRAPPIST-1e,47.0,41-50,False,214.0,0.0,1411.0,0.0,1229.0,2854.0,1,Datie,5,0
0031_02,31,3,0,Mars,F,9.0,P,False,TRAPPIST-1e,2.0,0-10,False,0.0,0.0,0.0,0.0,0.0,0.0,0,Datie,5,0
0031_03,31,3,0,Mars,F,9.0,P,False,TRAPPIST-1e,20.0,11-20,False,0.0,0.0,1750.0,990.0,0.0,2740.0,1,Datie,5,0
0034_01,34,1,1,Europa,D,1.0,S,True,55 Cancri e,28.0,21-30,False,0.0,0.0,0.0,0.0,0.0,0.0,0,Oingwhedly,1,1
0035_01,35,1,1,Mars,D,1.0,P,False,55 Cancri e,23.0,21-30,False,784.0,964.0,0.0,951.0,0.0,2699.0,1,Butte,6,0
0036_01,36,1,1,Earth,F,8.0,S,False,55 Cancri e,15.0,11-20,False,0.0,492.0,48.0,20.0,401.0,961.0,1,Leodger,6,0
0038_01,38,1,1,Earth,F,10.0,S,False,55 Cancri e,20.0,11-20,False,554.0,195.0,0.0,2606.0,0.0,3355.0,1,Wheelez,7,0
0039_01,39,1,1,Earth,G,1.0,P,True,55 Cancri e,30.0,21-30,False,0.0,0.0,0.0,0.0,0.0,0.0,0,Batthewitt,2,0
0041_01,41,1,1,Earth,G,2.0,P,True,TRAPPIST-1e,17.0,11-20,False,0.0,0.0,0.0,0.0,0.0,0.0,0,Moodsey,11,0
0043_01,43,1,1,Europa,B,3.0,P,False,TRAPPIST-1e,45.0,41-50,False,0.0,164.0,45.0,2511.0,855.0,3575.0,1,Cylistrand,3,0
0044_01,44,3,0,Earth,G,3.0,P,True,TRAPPIST-1e,55.0,51-60,False,0.0,0.0,0.0,0.0,0.0,0.0,0,Coopelandez,9,0
0044_02,44,3,0,Earth,G,3.0,P,True,55 Cancri e,4.0,0-10,False,0.0,0.0,0.0,0.0,0.0,0.0,0,Coopelandez,9,0
0044_03,44,3,0,Earth,G,3.0,P,True,PSO J318.5-22,21.0,21-30,False,0.0,0.0,0.0,0.0,0.0,0.0,0,Coopelandez,9,0
0045_01,45,2,0,Mars,F,10.0,P,False,TRAPPIST-1e,21.0,21-30,False,970.0,0.0,180.0,0.0,64.0,1214.0,1,Chmad,7,0
0045_02,45,2,0,Mars,F,10.0,P,True,TRAPPIST-1e,19.0,11-20,False,0.0,0.0,0.0,0.0,0.0,0.0,0,Chmad,7,0
0050_01,50,1,1,Earth,E,1.0,S,False,55 Cancri e,35.0,31-40,False,790.0,0.0,0.0,0.0,0.0,790.0,1,Lancis,3,0
0051_01,51,1,1,Earth,E,2.0,S,False,TRAPPIST-1e,56.0,51-60,False,0.0,112.0,0.0,1379.0,127.0,1618.0,1,Johnshines,6,0
0052_01,52,1,1,Earth,G,6.0,S,False,TRAPPIST-1e,27.0,21-30,False,4.0,0.0,2.0,4683.0,0.0,4689.0,1,Hubbarton,8,0
0053_01,53,1,1,Earth,F,11.0,S,False,TRAPPIST-1e,25.0,21-30,False,0.0,0.0,1938.0,0.0,1.0,1939.0,1,Hickerson,10,0
0056_01,56,3,0,Europa,A,1.0,S,False,TRAPPIST-1e,2.0,0-10,False,0.0,0.0,0.0,0.0,0.0,0.0,0,Tractive,6,0
